_id,MetCat key,Name,Validity,Synonyms,Type,Class,(A)chondrite,Group,Petrologic type,Bandwidth (mm),Shock stage,Weathering grade,Recovered weight,Find or fall,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
26913,A1278.113,Allan Hills 78113,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/Be,298.6 g,Find,1978,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27514,A1283.009,Allan Hills 83009,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,1.7 g,Find,1983,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27520,A1283.015,Allan Hills 83015,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,3.1 g,Find,1983,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27595,A1284.007,Allan Hills 84007,Valid,,Stone,Aubrite,Achondrite,AUB,,,,Ae,705.6 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27596,A1284.008,Allan Hills 84008,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,301.6 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27597,A1284.009,Allan Hills 84009,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,335.6 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27598,A1284.010,Allan Hills 84010,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,303 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27599,A1284.011,Allan Hills 84011,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,138.2 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27600,A1284.012,Allan Hills 84012,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,224.7 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27601,A1284.013,Allan Hills 84013,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,159.9 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27602,A1284.014,Allan Hills 84014,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,49.4 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27603,A1284.015,Allan Hills 84015,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,263.9 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27604,A1284.016,Allan Hills 84016,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,149.7 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27605,A1284.017,Allan Hills 84017,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,79.8 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27606,A1284.018,Allan Hills 84018,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,81.7 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27607,A1284.019,Allan Hills 84019,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,93.2 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27608,A1284.020,Allan Hills 84020,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,191.1 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27609,A1284.021,Allan Hills 84021,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,35.7 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27610,A1284.022,Allan Hills 84022,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,12.5 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27611,A1284.023,Allan Hills 84023,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,262.4 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
27612,A1284.024,Allan Hills 84024,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,194.4 g,Find,1984,,,,Victoria Land,Antarctica,-76.7167,159.6667,76° 43' S,159° 40' E,,
31237,A2620,Aubres,Valid,[u'Nyons'],Stone,Aubrite,Achondrite,AUB,,,,,800 g,Fall,1836,September,14,1500,Drome,France,44.3833,5.1667,44° 23' N,5° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2620%7CscientificName%3AAubres
31388,B1840,Bishopville,Valid,"[u'Bischopville', u'Sumter County']",Stone,Aubrite,Achondrite,AUB,,,,,5.9 kg,Fall,1843,March,25,,South Carolina,USA,34.1667,-80.2833,34° 10' N,80° 17' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB1840%7CscientificName%3ABishopville
31518,B3470,Bustee,Valid,"[u'Basti v. Bustee', u'Goruckpur v. Bustee']",Stone,Aubrite,Achondrite,AUB,,,,,1.6 kg,Fall,1852,December,2,1000,Uttar Pradesh,India,26.7833,82.8333,26° 47' N,82° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AB3470%7CscientificName%3ABustee
31852,C4020,Cumberland Falls,Valid,,Stone,Aubrite,Achondrite,AUB,,,,,14 kg,Fall,1919,April,9,1200,Kentucky,USA,36.8333,-84.35,36° 50' N,84° 21' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AC4020%7CscientificName%3ACumberland%20Falls
34146,E590.033,Elephant Moraine 90033,Valid,,Stone,Aubrite,Achondrite,AUB,,,,B,3.9 g,Find,1990,,,,Victoria Land,Antarctica,-76.1833,157.1667,76° 11' S,157° 10' E,,
34868,E590.757,Elephant Moraine 90757,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A,3.7 g,Find,1990,,,,Victoria Land,Antarctica,-76.1833,157.1667,76° 11' S,157° 10' E,,
37640,K1390,Khor Temiki,Valid,[u'Girger'],Stone,Aubrite,Achondrite,AUB,,,,,3.2 kg,Fall,1932,April,8,,,Sudan,16,36,16° N,36° E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1390%7CscientificName%3AKhor%20Temiki
38509,L1187.007,Lewis Cliff 87007,Valid,,Stone,Aubrite,Achondrite,AUB,,,,B,3.2 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38513,L1187.011,Lewis Cliff 87011,Valid,,Stone,Aubrite,Achondrite,AUB,,,,B,1 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38515,L1187.013,Lewis Cliff 87013,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,0.2 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38519,L1187.017,Lewis Cliff 87017,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,1.3 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38520,L1187.018,Lewis Cliff 87018,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,1.2 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38521,L1187.019,Lewis Cliff 87019,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,0.5 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38522,L1187.020,Lewis Cliff 87020,Valid,,Stone,Aubrite,Achondrite,AUB,,,,B,1.9 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38523,L1187.021,Lewis Cliff 87021,Valid,,Stone,Aubrite,Achondrite,AUB,,,,A/B,0.5 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38557,L1187.056,Lewis Cliff 87056,Valid,,Stone,Aubrite,Achondrite,AUB,,,,B,0.1 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
38781,L1187.294,Lewis Cliff 87294,Valid,,Stone,Aubrite,Achondrite,AUB,,,,B,3.9 g,Find,1987,,,,Victoria Land,Antarctica,-84.2833,161.0833,84° 17' S,161° 5' E,,
39903,M1320,Mayo Belwa,Valid,,Stone,Aubrite,Achondrite,AUB,,,,,4.85 kg,Fall,1974,August,3,evening,,Nigeria,8.9667,12.0833,8° 58' N,12° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1320%7CscientificName%3AMayo%20Belwa
40720,N1615.1235,North West Africa 1235,Valid,,Stone,Aubrite,Achondrite,AUB,,,S2/3,W3/4,80 g,Find,2000,,,,,North West Africa,,,,,,
40973,N1640,Norton County,Valid,[u'Furnas County'],Stone,Aubrite,Achondrite,AUB,,,,,> 1 t,Fall,1948,February,18,1656,Kansas,USA,39.6833,-99.8667,39° 41' N,99° 52' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1640%7CscientificName%3ANorton%20County
41922,P770,Peña Blanca Spring,Valid,[u'Marathon'],Stone,Aubrite,Achondrite,AUB,,,,,70 kg,Fall,1946,August,2,afternoon,Texas,USA,30.125,-103.1167,30° 7.5' N,103° 7' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AP770%7CscientificName%3APe%C3%B1a%20Blanca%20Spring
41936,P970,Pesyanoe,Valid,"[u'Kurgansku', u'Lebjagevka', u'Staroe Pesianoe', u'Staroe Pesyanoe', u'Staroje Pesjanoje', u'Staro-Pesiianoe']",Stone,Aubrite,Achondrite,AUB,,,,,3393 g,Fall,1933,October,2,600,Kurgan Province,Russia,55.5,66.0833,55° 30' N,66° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AP970%7CscientificName%3APesyanoe
43699,Q97.289,Queen Alexandra Range 97289,Valid,,Stone,Aubrite,Achondrite,AUB,,,,C,51.9 g,Find,1997,,,,Victoria Land,Antarctica,-84.0,168.0,84° 0' S,168° 0' E,,
43758,Q97.348,Queen Alexandra Range 97348,Valid,,Stone,Aubrite,Achondrite,AUB,,,,C,50.7 g,Find,1997,,,,Victoria Land,Antarctica,-84.0,168.0,84° 0' S,168° 0' E,,
45876,S2420,Shallowater,Valid,,Stone,Aubrite,Achondrite,AUB,,,,,4.6 kg,Find,1936,July,,,Texas,USA,33.7,-101.9333,33° 42' N,101° 56' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2420%7CscientificName%3AShallowater
51504,Y279.3592,Yamato 793592,Valid,,Stone,Aubrite,Achondrite,AUB,,,,,31.99 g,Find,1979,,,,Queen Maud Land,Antarctica,-71.5,35.6667,71° 30' S,35° 40' E,,
